_gat_UA-195683270-2;1;.mekari.com;/;Mon Jan 03 23:56:11 WIB 2022;false
_ga;GA1.2.1580982418.1641228912;.mekari.com;/;Wed Jan 03 23:55:18 WIB 2024;false
_fbp;fb.1.1641228913583.2011959756;.mekari.com;/;Sun Apr 03 23:55:17 WIB 2022;false
_gat_UA-143257582-1;1;.mekari.com;/;Mon Jan 03 23:56:13 WIB 2022;false
_gcl_au;1.1.1705241960.1641228913;.mekari.com;/;Sun Apr 03 23:55:13 WIB 2022;false
_gid;GA1.2.1234231258.1641228912;.mekari.com;/;Tue Jan 04 23:55:18 WIB 2022;false
